"studyName","Sample Number","Species","Region","Island","Stage","Individual ID","Clutch Completion","Date Egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)","Comments"
"PAL0708","11","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N6A1","Yes","2007-11-09","37.8","17.1","186","3300","NA","863243","-2521315","No blood sample obtained for sexing."
"PAL0708","12","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N6A2","Yes","2007-11-09","37.8","17.3","180","3700","NA","NA","NA","No blood sample obtained."
"PAL0708","13","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N7A1","Yes","2007-11-15","41.1","17.6","182","3200","FEMALE","NA","NA","Not enough blood for isotopes."
"PAL0708","14","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N7A2","Yes","2007-11-15","38.6","21.2","191","3800","MALE","NA","NA","Not enough blood for isotopes."
"PAL0708","15","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N8A1","Yes","2007-11-16","34.6","21.1","198","4400","MALE","855583","-2522588","NA"
"PAL0708","16","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N8A2","Yes","2007-11-16","36.6","17.8","185","3700","FEMALE","NA","NA","Not enough blood for isotopes."
"PAL0708","17","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N9A1","Yes","2007-11-12","38.7","19","195","3450","FEMALE","918528","-2506691","NA"
"PAL0708","18","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N9A2","Yes","2007-11-12","42.5","20.7","197","4500","MALE","867538","-2513993","NA"
"PAL0708","19","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N10A1","Yes","2007-11-16","34.4","18.4","184","3325","FEMALE","847827","-2523319","NA"
"PAL0708","20","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N10A2","Yes","2007-11-16","46","21.5","194","4200","MALE","911616","-2477227","NA"
"PAL0708","21","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N11A1","Yes","2007-11-12","37.8","18.3","174","3400","FEMALE","873762","-2509383","NA"
"PAL0708","22","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N11A2","Yes","2007-11-12","37.7","18.7","180","3600","MALE","866271","-250639","NA"
"PAL0708","23","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N12A1","Yes","2007-11-12","35.9","19.2","189","3800","FEMALE","922286","-2503474","NA"
"PAL0708","24","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N12A2","Yes","2007-11-12","38.2","18.1","185","3950","MALE","843423","-2522664","NA"
"PAL0708","25","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N13A1","Yes","2007-11-10","38.8","17.2","180","3800","MALE","963954","-2529856","NA"
"PAL0708","26","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N13A2","Yes","2007-11-10","35.3","18.9","187","3800","FEMALE","921292","-243613","NA"
"PAL0708","27","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N17A1","Yes","2007-11-12","40.6","18.6","183","3550","MALE","893997","-2536288","NA"
"PAL0708","28","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N17A2","Yes","2007-11-12","40.5","17.9","187","3200","FEMALE","808138","-2549448","NA"
"PAL0708","29","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N18A1","No","2007-11-10","37.9","18.6","172","3150","FEMALE","838404","-2519837","Nest never observed with full clutch."
"PAL0708","30","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N18A2","No","2007-11-10","40.5","18.9","180","3950","MALE","890027","-2511609","Nest never observed with full clutch."
"PAL0708","31","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N21A1","Yes","2007-11-09","39.5","16.7","178","3250","FEMALE","969756","-2511223","NA"
"PAL0708","32","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N21A2","Yes","2007-11-09","37.2","18.1","178","3900","MALE","972764","-250102","NA"
"PAL0708","33","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N22A1","Yes","2007-11-09","39.5","17.8","188","3300","FEMALE","966523","-250602","NA"
"PAL0708","34","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N22A2","Yes","2007-11-09","40.9","18.9","184","3900","MALE","879665","-2514591","NA"
"PAL0708","35","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N23A1","Yes","2007-11-16","36.4","17","195","3325","FEMALE","917847","-2523061","NA"
"PAL0708","36","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N23A2","Yes","2007-11-16","39.2","21.1","196","4150","MALE","915308","-2503469","NA"
"PAL0708","37","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N24A1","Yes","2007-11-16","38.8","20","190","3950","MALE","918985","-2512255","NA"
"PAL0708","38","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N24A2","Yes","2007-11-16","42.2","18.5","180","3550","FEMALE","804787","-2549523","NA"
"PAL0708","39","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N25A1","No","2007-11-13","37.6","19.3","181","3300","FEMALE","941131","-2504169","Nest never observed with full clutch."
"PAL0708","40","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N25A2","No","2007-11-13","39.8","19.1","184","4650","MALE","NA","NA","Nest never observed with full clutch. Not enough blood for isotopes."
"PAL0708","41","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N26A1","Yes","2007-11-16","36.5","18","182","3150","FEMALE","968933","-244228","NA"
"PAL0708","42","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N26A2","Yes","2007-11-16","40.8","18.4","195","3900","MALE","NA","NA","Not enough blood for isotopes."
"PAL0708","43","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N27A1","Yes","2007-11-19","36","18.5","186","3100","FEMALE","950772","-2503492","NA"
"PAL0708","44","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N27A2","Yes","2007-11-19","44.1","19.7","196","4400","MALE","92372","-2452698","NA"
"PAL0708","45","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N28A1","Yes","2007-11-16","37","16.9","185","3000","FEMALE","936392","-2501745","NA"
"PAL0708","46","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N28A2","Yes","2007-11-16","39.6","18.8","190","4600","MALE","949106","-2410255","NA"
"PAL0708","47","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N29A1","Yes","2007-11-13","41.1","19","182","3425","MALE","NA","NA","Not enough blood for isotopes."
"PAL0708","48","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N29A2","Yes","2007-11-13","37.5","18.9","179","2975","NA","NA","NA","Sexing primers did not amplify. Not enough blood for isotopes."
"PAL0708","49","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N30A1","Yes","2007-11-13","36","17.9","190","3450","FEMALE","951784","-2507683","NA"
"PAL0708","50","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N30A2","Yes","2007-11-13","42.3","21.2","191","4150","MALE","887988","-2518543","NA"
"PAL0809","51","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N21A1","Yes","2008-11-06","39.6","17.7","186","3500","FEMALE","846616","-2612989","NA"
"PAL0809","52","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N21A2","Yes","2008-11-06","40.1","18.9","188","4300","MALE","851362","-2655602","NA"
"PAL0809","53","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N22A1","Yes","2008-11-09","35","17.9","190","3450","FEMALE","819539","-2617213","NA"
"PAL0809","54","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N22A2","Yes","2008-11-09","42","19.5","200","4050","MALE","848095","-263146","NA"
"PAL0809","55","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N23A1","Yes","2008-11-09","34.5","18.1","187","2900","FEMALE","841837","-2654718","NA"
"PAL0809","56","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N23A2","Yes","2008-11-09","41.4","18.6","191","3700","MALE","835396","-2627853","NA"
"PAL0809","57","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N24A1","Yes","2008-11-15","39","17.5","186","3550","FEMALE","857199","-2607188","NA"
"PAL0809","58","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N24A2","Yes","2008-11-15","40.6","18.8","193","3800","MALE","856674","-2598843","NA"
"PAL0809","59","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N25A1","Yes","2008-11-15","36.5","16.6","181","2850","FEMALE","907878","-2588156","NA"
"PAL0809","60","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N25A2","Yes","2008-11-15","37.6","19.1","194","3750","MALE","9108","-2589677","NA"
"PAL0809","61","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N27A1","Yes","2008-11-13","35.7","16.9","185","3150","FEMALE","896472","-2640943","NA"
"PAL0809","62","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N27A2","Yes","2008-11-13","41.3","21.1","195","4400","MALE","874802","-2637809","NA"
"PAL0809","63","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N28A1","Yes","2008-11-13","37.6","17","185","3600","FEMALE","858063","-2621569","NA"
"PAL0809","64","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N28A2","Yes","2008-11-13","41.1","18.2","192","4050","MALE","862264","-2660023","NA"
"PAL0809","65","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N29A1","Yes","2008-11-13","36.4","17.1","184","2850","FEMALE","862623","-261165","NA"
"PAL0809","66","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N29A2","Yes","2008-11-13","41.6","18","192","3950","MALE","885562","-2609294","NA"
"PAL0809","67","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N30A1","Yes","2008-11-06","35.5","16.2","195","3350","FEMALE","856192","-2595541","NA"
"PAL0809","68","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N30A2","Yes","2008-11-06","41.1","19.1","188","4100","MALE","871078","-2581012","NA"
"PAL0809","69","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N32A1","No","2008-11-11","35.9","16.6","190","3050","FEMALE","847781","-2607821","Nest never observed with full clutch."
"PAL0809","70","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N32A2","No","2008-11-11","41.8","19.4","198","4450","MALE","886853","-2606209","Nest never observed with full clutch."
"PAL0809","71","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N34A1","Yes","2008-11-14","33.5","19","190","3600","FEMALE","788863","-2663085","NA"
"PAL0809","72","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N34A2","Yes","2008-11-14","39.7","18.4","190","3900","MALE","929808","-2523453","NA"
"PAL0809","73","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N35A1","Yes","2008-11-11","39.6","17.2","196","3550","FEMALE","833524","-2655351","NA"
"PAL0809","74","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N35A2","Yes","2008-11-11","45.8","18.9","197","4150","MALE","818658","-2645978","NA"
"PAL0809","75","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N36A1","Yes","2008-11-08","35.5","17.5","190","3700","FEMALE","870642","-2615003","NA"
"PAL0809","76","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N36A2","Yes","2008-11-08","42.8","18.5","195","4250","MALE","82993","-2638986","NA"
"PAL0809","77","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N37A1","Yes","2008-11-06","40.9","16.8","191","3700","FEMALE","847257","-2602002","NA"
"PAL0809","78","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N37A2","Yes","2008-11-06","37.2","19.4","184","3900","MALE","83554","-2644787","NA"
"PAL0809","79","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N38A1","Yes","2008-11-09","36.2","16.1","187","3550","FEMALE","782381","-2651382","NA"
"PAL0809","80","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N38A2","Yes","2008-11-09","42.1","19.1","195","4000","MALE","905736","-2581513","NA"
"PAL0809","81","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N39A1","Yes","2008-11-02","34.6","17.2","189","3200","FEMALE","769778","-265387","NA"
"PAL0809","82","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N39A2","Yes","2008-11-02","42.9","17.6","196","4700","MALE","863259","-2623027","NA"
"PAL0809","83","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N40A1","Yes","2008-11-07","36.7","18.8","187","3800","FEMALE","788494","-2624837","NA"
"PAL0809","84","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N40A2","Yes","2008-11-07","35.1","19.4","193","4200","MALE","890002","-2646254","NA"
"PAL0809","85","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N41A1","Yes","2008-11-17","37.3","17.8","191","3350","FEMALE","832718","-2638396","NA"
"PAL0809","86","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N41A2","Yes","2008-11-17","41.3","20.3","194","3550","MALE","914863","-2609635","NA"
"PAL0809","87","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N42A1","Yes","2008-11-08","36.3","19.5","190","3800","MALE","857087","-2622227","NA"
"PAL0809","88","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N42A2","Yes","2008-11-08","36.9","18.6","189","3500","FEMALE","859147","-2608165","NA"
"PAL0809","89","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N44A1","Yes","2008-11-08","38.3","19.2","189","3950","MALE","907826","-2612417","NA"
"PAL0809","90","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N44A2","Yes","2008-11-08","38.9","18.8","190","3600","FEMALE","836936","-2611199","NA"
"PAL0809","91","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N45A1","Yes","2008-11-14","35.7","18","202","3550","FEMALE","846531","-2605621","NA"
"PAL0809","92","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N45A2","Yes","2008-11-14","41.1","18.1","205","4300","MALE","877018","-2583352","NA"
"PAL0809","93","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N46A1","Yes","2008-11-05","34","17.1","185","3400","FEMALE","801485","-2669543","NA"
"PAL0809","94","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N46A2","Yes","2008-11-05","39.6","18.1","186","4450","MALE","849915","-2642406","NA"
"PAL0809","95","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N48A1","Yes","2008-11-17","36.2","17.3","187","3300","FEMALE","890723","-2630037","NA"
"PAL0809","96","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N48A2","Yes","2008-11-17","40.8","18.9","208","4300","MALE","848204","-2657941","NA"
"PAL0809","97","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N49A1","Yes","2008-11-08","38.1","18.6","190","3700","FEMALE","810277","-2650086","NA"
"PAL0809","98","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N49A2","Yes","2008-11-08","40.3","18.5","196","4350","MALE","839459","-2601152","NA"
"PAL0809","99","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N50A1","Yes","2008-11-10","33.1","16.1","178","2900","FEMALE","904218","-2615775","NA"
"PAL0809","100","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N50A2","Yes","2008-11-10","43.2","18.5","192","4100","MALE","897025","-2603679","NA"
"PAL0910","101","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N47A1","Yes","2009-11-09","35","17.9","192","3725","FEMALE","884451","-2628055","NA"
"PAL0910","102","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N47A2","Yes","2009-11-09","41","20","203","4725","MALE","901079","-2638085","NA"
"PAL0910","103","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N49A1","Yes","2009-11-15","37.7","16","183","3075","FEMALE","92151","-262253","NA"
"PAL0910","104","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N49A2","Yes","2009-11-15","37.8","20","190","4250","MALE","951929","-2569199","NA"
"PAL0910","105","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N51A1","Yes","2009-11-15","37.9","18.6","193","2925","FEMALE","902642","-2586482","NA"
"PAL0910","106","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N51A2","Yes","2009-11-15","39.7","18.9","184","3550","MALE","885699","-2580208","NA"
"PAL0910","107","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N53A1","Yes","2009-11-15","38.6","17.2","199","3750","FEMALE","877322","-2648973","NA"
"PAL0910","108","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N53A2","Yes","2009-11-15","38.2","20","190","3900","MALE","959245","-2570711","NA"
"PAL0910","109","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N55A1","Yes","2009-11-20","38.1","17","181","3175","FEMALE","979532","-2527385","NA"
"PAL0910","110","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N55A2","Yes","2009-11-20","43.2","19","197","4775","MALE","931735","-2545171","NA"
"PAL0910","111","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N58A1","Yes","2009-11-12","38.1","16.5","198","3825","FEMALE","843951","-2657563","NA"
"PAL0910","112","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N58A2","Yes","2009-11-12","45.6","20.3","191","4600","MALE","865466","-2632909","NA"
"PAL0910","113","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N60A1","Yes","2009-11-15","39.7","17.7","193","3200","FEMALE","902657","-2606203","NA"
"PAL0910","114","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N60A2","Yes","2009-11-15","42.2","19.5","197","4275","MALE","880186","-2641218","NA"
"PAL0910","115","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N61A1","Yes","2009-11-17","39.6","20.7","191","3900","FEMALE","880967","-2678958","NA"
"PAL0910","116","Adelie Penguin (Pygoscelis adeliae)","Anvers","Biscoe","Adult, 1 Egg Stage","N61A2","Yes","2009-11-17","42.7","18.3","196","4075","MALE","891434","-2642018","NA"
"PAL0910","117","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N63A1","Yes","2009-11-18","38.6","17","188","2900","FEMALE","918021","-2577264","NA"
"PAL0910","118","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N63A2","Yes","2009-11-18","37.3","20.5","199","3775","MALE","949645","-2636678","NA"
"PAL0910","119","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N64A1","Yes","2009-11-22","35.7","17","189","3350","FEMALE","896436","-2390309","NA"
"PAL0910","120","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N64A2","Yes","2009-11-22","41.1","18.6","189","3325","MALE","932277","-2609989","NA"
"PAL0910","121","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N66A1","No","2009-11-17","36.2","17.2","187","3150","FEMALE","904296","-2619444","Nest never observed with full clutch."
"PAL0910","122","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N66A2","No","2009-11-17","37.7","19.8","198","3500","MALE","911066","-2642563","Nest never observed with full clutch."
"PAL0910","123","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N67A1","Yes","2009-11-16","40.2","17","176","3450","FEMALE","930722","-2561039","NA"
"PAL0910","124","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N67A2","Yes","2009-11-16","41.4","18.5","202","3875","MALE","959462","-2542621","NA"
"PAL0910","125","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N69A1","Yes","2009-11-18","35.2","15.9","186","3050","FEMALE","881668","-2595399","NA"
"PAL0910","126","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N69A2","Yes","2009-11-18","40.6","19","199","4000","MALE","922537","-2560826","NA"
"PAL0910","127","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N71A1","Yes","2009-11-21","38.8","17.6","191","3275","FEMALE","888098","-2589741","NA"
"PAL0910","128","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N71A2","Yes","2009-11-21","41.5","18.3","195","4300","MALE","852566","-260245","NA"
"PAL0910","129","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N72A1","Yes","2009-11-18","39","17.1","191","3050","FEMALE","919031","-2573722","NA"
"PAL0910","130","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N72A2","Yes","2009-11-18","44.1","18","210","4000","MALE","910702","-2601363","NA"
"PAL0910","131","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N73A1","No","2009-11-23","38.5","17.9","190","3325","FEMALE","89846","-2557956","Nest never observed with full clutch."
"PAL0910","132","Adelie Penguin (Pygoscelis adeliae)","Anvers","Torgersen","Adult, 1 Egg Stage","N73A2","No","2009-11-23","43.1","19.2","197","3500","MALE","886495","-261396","Nest never observed with full clutch."
"PAL0910","133","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N76A1","Yes","2009-11-10","36.8","18.5","193","3500","FEMALE","898705","-2557647","NA"
"PAL0910","134","Adelie Penguin (Pygoscelis adeliae)","Anvers","Dream","Adult, 1 Egg Stage","N76A2","Yes","2009-11-10","37.5","18.5","199","4475","MALE","856708","-2649288","NA"
